pyenv-virtualenv: prompt changing will be removed from future release. configure `export PYENV_VIRTUALENV_DISABLE_PROMPT=1' to simulate the behavior.
Train Epoch: 5 [28160/60000 (47%)]	Loss: 0.312885 0.921875
Train Epoch: 5 [30720/60000 (51%)]	Loss: 0.250407 0.9375
Train Epoch: 5 [33280/60000 (55%)]	Loss: 0.250388 0.9375
Train Epoch: 5 [35840/60000 (60%)]	Loss: 0.437837 0.890625
Train Epoch: 5 [38400/60000 (64%)]	Loss: 0.187884 0.953125
Train Epoch: 5 [40960/60000 (68%)]	Loss: 0.312858 0.921875
Train Epoch: 5 [43520/60000 (72%)]	Loss: 0.437813 0.890625
Train Epoch: 5 [46080/60000 (77%)]	Loss: 0.500293 0.875
Train Epoch: 5 [48640/60000 (81%)]	Loss: 0.562769 0.859375
Train Epoch: 5 [51200/60000 (85%)]	Loss: 0.187844 0.953125
Train Epoch: 5 [53760/60000 (90%)]	Loss: 0.375299 0.90625
Train Epoch: 5 [56320/60000 (94%)]	Loss: 0.625250 0.84375
Train Epoch: 5 [58880/60000 (98%)]	Loss: 0.437779 0.890625
====> Epoch: 5 Average loss: 0.3973

Test set: Average loss: 25.7755, Accuracy: (90%)

Train Epoch: 6 [0/60000 (0%)]	Loss: 0.437763 0.890625
Train Epoch: 6 [2560/60000 (4%)]	Loss: 0.375274 0.90625
Train Epoch: 6 [5120/60000 (9%)]	Loss: 0.500240 0.875
Train Epoch: 6 [7680/60000 (13%)]	Loss: 0.250282 0.9375
Train Epoch: 6 [10240/60000 (17%)]	Loss: 0.375258 0.90625
Train Epoch: 6 [12800/60000 (21%)]	Loss: 0.500229 0.875
Train Epoch: 6 [15360/60000 (26%)]	Loss: 0.312751 0.921875
Train Epoch: 6 [17920/60000 (30%)]	Loss: 0.687685 0.828125
Train Epoch: 6 [20480/60000 (34%)]	Loss: 0.187764 0.953125
Train Epoch: 6 [23040/60000 (38%)]	Loss: 0.250240 0.9375
Train Epoch: 6 [25600/60000 (43%)]	Loss: 0.437710 0.890625
Train Epoch: 6 [28160/60000 (47%)]	Loss: 0.062752 0.984375
Train Epoch: 6 [30720/60000 (51%)]	Loss: 0.500197 0.875
Train Epoch: 6 [33280/60000 (55%)]	Loss: 0.312717 0.921875
Train Epoch: 6 [35840/60000 (60%)]	Loss: 0.312710 0.921875
Train Epoch: 6 [38400/60000 (64%)]	Loss: 0.625170 0.84375
Train Epoch: 6 [40960/60000 (68%)]	Loss: 0.500174 0.875
Train Epoch: 6 [43520/60000 (72%)]	Loss: 0.562672 0.859375
Train Epoch: 6 [46080/60000 (77%)]	Loss: 0.250201 0.9375
Train Epoch: 6 [48640/60000 (81%)]	Loss: 0.312692 0.921875
Train Epoch: 6 [51200/60000 (85%)]	Loss: 0.187696 0.953125
Train Epoch: 6 [53760/60000 (90%)]	Loss: 0.500164 0.875
Train Epoch: 6 [56320/60000 (94%)]	Loss: 0.187685 0.953125
Train Epoch: 6 [58880/60000 (98%)]	Loss: 0.375161 0.90625
====> Epoch: 6 Average loss: 0.3980

Test set: Average loss: 25.7172, Accuracy: (90%)

Train Epoch: 7 [0/60000 (0%)]	Loss: 0.250179 0.9375
Train Epoch: 7 [2560/60000 (4%)]	Loss: 0.125186 0.96875
Train Epoch: 7 [5120/60000 (9%)]	Loss: 0.125177 0.96875
Train Epoch: 7 [7680/60000 (13%)]	Loss: 0.500147 0.875
Train Epoch: 7 [10240/60000 (17%)]	Loss: 0.375150 0.90625
Train Epoch: 7 [12800/60000 (21%)]	Loss: 0.750108 0.8125
Train Epoch: 7 [15360/60000 (26%)]	Loss: 0.375142 0.90625
Train Epoch: 7 [17920/60000 (30%)]	Loss: 0.375139 0.90625
Train Epoch: 7 [20480/60000 (34%)]	Loss: 0.312638 0.921875
Train Epoch: 7 [23040/60000 (38%)]	Loss: 0.187648 0.953125
Train Epoch: 7 [25600/60000 (43%)]	Loss: 0.500118 0.875
Train Epoch: 7 [28160/60000 (47%)]	Loss: 0.125146 0.96875
Train Epoch: 7 [30720/60000 (51%)]	Loss: 0.562612 0.859375
Train Epoch: 7 [33280/60000 (55%)]	Loss: 0.375121 0.90625
Train Epoch: 7 [35840/60000 (60%)]	Loss: 0.562607 0.859375
Train Epoch: 7 [38400/60000 (64%)]	Loss: 0.437611 0.890625
Train Epoch: 7 [40960/60000 (68%)]	Loss: 0.562601 0.859375
Train Epoch: 7 [43520/60000 (72%)]	Loss: 0.437606 0.890625
Train Epoch: 7 [46080/60000 (77%)]	Loss: 0.312612 0.921875
Train Epoch: 7 [48640/60000 (81%)]	Loss: 0.875073 0.78125
Train Epoch: 7 [51200/60000 (85%)]	Loss: 0.312610 0.921875
Train Epoch: 7 [53760/60000 (90%)]	Loss: 0.500094 0.875
Train Epoch: 7 [56320/60000 (94%)]	Loss: 0.375099 0.90625
Train Epoch: 7 [58880/60000 (98%)]	Loss: 0.375099 0.90625
====> Epoch: 7 Average loss: 0.3975

Test set: Average loss: 25.7895, Accuracy: (90%)

Train Epoch: 8 [0/60000 (0%)]	Loss: 0.250105 0.9375
Train Epoch: 8 [2560/60000 (4%)]	Loss: 0.250103 0.9375
Train Epoch: 8 [5120/60000 (9%)]	Loss: 0.562582 0.859375
Train Epoch: 8 [7680/60000 (13%)]	Loss: 0.250096 0.9375
Train Epoch: 8 [10240/60000 (17%)]	Loss: 0.500082 0.875
Train Epoch: 8 [12800/60000 (21%)]	Loss: 0.375087 0.90625
Train Epoch: 8 [15360/60000 (26%)]	Loss: 0.375085 0.90625
Train Epoch: 8 [17920/60000 (30%)]	Loss: 0.312587 0.921875
Train Epoch: 8 [20480/60000 (34%)]	Loss: 0.625070 0.84375
Train Epoch: 8 [23040/60000 (38%)]	Loss: 0.250086 0.9375
Train Epoch: 8 [25600/60000 (43%)]	Loss: 0.375081 0.90625
Train Epoch: 8 [28160/60000 (47%)]	Loss: 0.250082 0.9375
Train Epoch: 8 [30720/60000 (51%)]	Loss: 0.312579 0.921875
Train Epoch: 8 [33280/60000 (55%)]	Loss: 0.187582 0.953125
Train Epoch: 8 [35840/60000 (60%)]	Loss: 0.187582 0.953125
Train Epoch: 8 [38400/60000 (64%)]	Loss: 0.687557 0.828125
Train Epoch: 8 [40960/60000 (68%)]	Loss: 0.687555 0.828125
Train Epoch: 8 [43520/60000 (72%)]	Loss: 0.375067 0.90625
Train Epoch: 8 [46080/60000 (77%)]	Loss: 0.375066 0.90625
Train Epoch: 8 [48640/60000 (81%)]	Loss: 0.187577 0.953125
Train Epoch: 8 [51200/60000 (85%)]	Loss: 0.375062 0.90625
Train Epoch: 8 [53760/60000 (90%)]	Loss: 0.187570 0.953125
Train Epoch: 8 [56320/60000 (94%)]	Loss: 0.375060 0.90625
Train Epoch: 8 [58880/60000 (98%)]	Loss: 0.187565 0.953125
====> Epoch: 8 Average loss: 0.3975

Test set: Average loss: 25.7107, Accuracy: (90%)

Train Epoch: 9 [0/60000 (0%)]	Loss: 0.375058 0.90625
Train Epoch: 9 [2560/60000 (4%)]	Loss: 0.312560 0.921875
Train Epoch: 9 [5120/60000 (9%)]	Loss: 0.375055 0.90625
Train Epoch: 9 [7680/60000 (13%)]	Loss: 0.375055 0.90625
Train Epoch: 9 [10240/60000 (17%)]	Loss: 0.250058 0.9375
Train Epoch: 9 [12800/60000 (21%)]	Loss: 0.500050 0.875
Train Epoch: 9 [15360/60000 (26%)]	Loss: 0.437549 0.890625
Train Epoch: 9 [17920/60000 (30%)]	Loss: 0.062559 0.984375
Train Epoch: 9 [20480/60000 (34%)]	Loss: 0.375050 0.90625
Train Epoch: 9 [23040/60000 (38%)]	Loss: 0.125055 0.96875
Train Epoch: 9 [25600/60000 (43%)]	Loss: 0.437546 0.890625
Train Epoch: 9 [28160/60000 (47%)]	Loss: 0.250051 0.9375
Train Epoch: 9 [30720/60000 (51%)]	Loss: 0.375046 0.90625
Train Epoch: 9 [33280/60000 (55%)]	Loss: 0.437543 0.890625
Train Epoch: 9 [35840/60000 (60%)]	Loss: 0.375043 0.90625
Train Epoch: 9 [38400/60000 (64%)]	Loss: 0.312544 0.921875
Train Epoch: 9 [40960/60000 (68%)]	Loss: 0.437540 0.890625
Train Epoch: 9 [43520/60000 (72%)]	Loss: 0.250044 0.9375
